PHÂN TÍCH DATABASE,Category,Subcategory,Address,State,Zip,Phone,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Hours_Sat,Hours_Sun,Email,Website,Languages,Services,Vietnamese_Speaking,Years_Experience,Notes,Google_Maps_Search,"Has_Number=IF(REGEXMATCH(D2,""[0-9]""),""YES"",""NO"")",Google_Maps_Link,Link_Type
Lorentz Automotive,Automotive,Auto Repair,600 N Mill St,TX,75057,(972) 353-2100,cole@lorentzautoinc.com,lorentzautoinc.com,,,,,,cole@lorentzautoinc.com,lorentzautoinc.com,Vietnamese/English,Asian Imports,Yes,,,Lorentz Automotive Lewisville,,https://www.google.com/maps/place/?q=place_id:ChIJ3d5WdBAuTIYRZon823VD4Yo,PLACE_ID
Affordable Kar Kare,Automotive,Auto Repair,222 S Galloway Ave,TX,75149,(972) 329-0771,,affordablekarkare.com,,,,,,,affordablekarkare.com,Vietnamese/English,Auto Repair,Yes,,,Affordable Kar Kare Mesquite,,https://www.google.com/maps/place/?q=place_id:ChIJ2VB6u3SlToYRQyO1acZbnC0,PLACE_ID
Quoc Bao Bakery,Bakery,Vietnamese Bakery,"3419 W. Walnut St., 104",TX,75042,(972) 272-9892,9:00 AM - 6:00 PM,CLOSED,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,,,Vietnamese/English,"Bánh Mì, Vietnamese pastries, coconut macarons",Yes,,,Quoc Bao Bakery Garland,,https://www.google.com/maps/place/?q=place_id:ChIJlzTYmBYeTIYRxrOF8GXSzr8,PLACE_ID
Thach Thao Bakery,Bakery,Vietnamese Bakery,3212 N Jupiter Rd 137,TX,75044,(972) 495-8882,,,,,,,,,,Vietnamese/English,Vietnamese baked goods,Yes,,,Thach Thao Bakery Garland,,https://www.google.com/maps/place/?q=place_id:ChIJGeN2O4oeTIYR6OP1QSaCt80,PLACE_ID
M2M Bakery,Bakery,Vietnamese Bakery,115 S Greenville Ave #112,TX,75081,(469) 877-3018,,,,,,,,infom2mbakery@gmail.com,m2mbakery.com,Vietnamese/English,Cakes & Sweets,Yes,,,M2M Bakery Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJAQDQkHQfTIYRhnoFflwYO6E,PLACE_ID
77 Donut Shop,Bakery,Donut Shop,101 Becky Ln,TX,75165,(972) 576-0997,,,,,,,,,,Vietnamese/English,Donut Shop,Yes,,,77 Donut Shop Waxahachie,,https://www.google.com/maps/place/?q=place_id:ChIJZ_XIVonrToYRnpGhj9vRhZY,PLACE_ID
Donut Palace Waxahachie,Bakery,Donut Shop,401 N Hwy 77 #21,TX,75165,(972) 937-8899,,,,,,,,,,Vietnamese/English,Donut Shop,Yes,,,Donut Palace Waxahachie,,https://www.google.com/maps/place/?q=place_id:ChIJf_v7GdzuToYRnZZZyMuSU-U,PLACE_ID
Vanthao Cosmetics & Skincare,Beauty & Personal Care,Cosmetics & Skincare,3212 Jupiter Rd #108,TX,75044,(214) 458-1584,,,,,,,,vanthao-cosmetics-skincare.square.site,,Vietnamese/English,"Skin treatments, facial massage, permanent makeup",Yes,,Inside Cali Saigon Mall,Vanthao Cosmetics Garland,,https://www.google.com/maps/place/?q=place_id:ChIJGeN2O4oeTIYRgOFj6yZXvCg,PLACE_ID
Top Nail Supply,Beauty & Personal Care,Nail Supply,3112 N Jupiter Rd #102,TX,75044,(214) 703-0018,,,,,,,,,topnailsupply.com,Vietnamese/English,"SPA chairs, nail lacquers, dipping powders",Yes,,Saigon Mall,Top Nail Supply Garland,,https://www.google.com/maps/place/?q=place_id:ChIJD9INgIoeTIYRZG6QSHWhV-g,PLACE_ID
Pro Nail Supply,Beauty & Personal Care,Nail Supply,805 N Jupiter Rd,TX,75042,(972) 494-6111,,,,,,,,,pronailsupplies.com,Vietnamese/English,"Nail products, multiple brands",Yes,,,Pro Nail Supply Garland,,https://www.google.com/maps/place/?q=place_id:ChIJw_HezxUeTIYRic61L5kOiiQ,PLACE_ID
Minh Hair Salon,Beauty & Personal Care,Hair Salon,3325 W Walnut St,TX,75042,(972) 487-8801,,,,,,,,,,Vietnamese/English,Vietnamese hair salon,Yes,,,Minh Hair Salon Garland,,https://www.google.com/maps/place/?q=place_id:ChIJU8dLrxYeTIYRGOYu0HhTCJE,PLACE_ID
JT Hair Lab,Beauty & Personal Care,Hair Salon,1415 State St #900,TX,75082,(469) 847-3088,,,,,,,,,,Vietnamese/English,Hair styling,Yes,,Jenny Tran - Vietnamese stylist,JT Hair Lab Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJPz8O5SQfTIYRY3FS88j3YFc,PLACE_ID
Vivian's Nails,Beauty & Personal Care,Nail Salon,3309 N Caldwell St,TX,75044,(214) 703-9888,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,Vivians Nails Garland,,https://www.google.com/maps/place/?q=place_id:ChIJfSa1JaJJRYYRgRJ1Qi8dnbY,PLACE_ID
Tangerine Salon,Beauty & Personal Care,Hair Salon,7949 Walnut Hill Ln #105,TX,75230,(972) 392-9200,,,,,,,,,,Vietnamese/English,"Luxury hair salon, color",Yes,,,Tangerine Salon Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJiyhwQcKfToYRwCsKdtNrinw,PLACE_ID
Nayoung Hair Salon,Beauty & Personal Care,Hair Salon,11445 Emerald St #114,TX,75229,(972) 243-7313,,,,,,,,,,Vietnamese/English,Asian Hair Salon,Yes,,,Nayoung Salon Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJG1utgdcgTIYR_kHE4yW-iv0,PLACE_ID
MZM Hair Salon,Beauty & Personal Care,Hair Salon,2805 W 15th St,TX,75075,(972) 867-0744,,,,,,,,,,Vietnamese/English,Hair styling & perms,Yes,,,MZM Hair Salon Plano,,https://www.google.com/maps/place/?q=place_id:ChIJ80uS69oZTIYRf6ifCvcLpg0,PLACE_ID
Lavender Nail Bar,Beauty & Personal Care,Nail Salon,8240 Preston Rd #140,TX,75024,(972) 377-6889,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Lavender Nail Bar Plano,,https://www.google.com/maps/place/?q=place_id:ChIJaVOuncQ8TIYRi6TTOsC8V_c,PLACE_ID
Majestic Nail Bar,Beauty & Personal Care,Nail Salon,1900 Preston Rd #209,TX,75093,(972) 248-1818,,,,,,,,,,Vietnamese/English,Luxury Nail Bar,Yes,,,Majestic Nail Bar Plano,,https://www.google.com/maps/place/?q=place_id:ChIJSwNu0VQiTIYRiw_A-Gg5bu4,PLACE_ID
Plano Legacy Nails & Spa,Beauty & Personal Care,Nail Salon,8305 Preston Rd #300,TX,75024,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,Plano Legacy Nails,,https://www.google.com/maps/place/?q=place_id:ChIJ4dbbvcM8TIYR6R_uxdlDzo8,PLACE_ID
M Spa Beauty,Beauty & Personal Care,Nail Salon,308 Coit Rd #200,TX,75075,,,,,,,,,,,Vietnamese/English,Nail & Beauty,Yes,,,M Spa Beauty Plano,,https://www.google.com/maps/place/?q=place_id:ChIJVwzVThEiTIYR33AuM3oAE_g,PLACE_ID
Hawaii Nail Spa,Beauty & Personal Care,Nail Salon,3040 W Camp Wisdom Rd #130,TX,75052,(972) 602-9999,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,Hawaii Nail Spa Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJUSJkF42JToYR2r-Yy7MF9dY,PLACE_ID
Epic Nails & Lashes Bar,Beauty & Personal Care,Nail Salon,3810 S State Hwy 161 #200,TX,75052,,,,,,,,,,,Vietnamese/English,Nails & Lashes,Yes,,,Epic Nails Lashes Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJITVWGH6JToYRgtgP7u-1Nlo,PLACE_ID
Diva Nail Bar,Beauty & Personal Care,Nail Salon,3450 S Hwy 161 #150,TX,75052,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Diva Nail Bar Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJ5WYEFZ2JToYRlTvPHup4XuQ,PLACE_ID
Amazing Nail Bar,Beauty & Personal Care,Nail Salon,4128 S Cooper St,TX,76015,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Amazing Nail Bar Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJiSWGpDxjToYRP8dowckV0C0,PLACE_ID
BEST NAILS,Beauty & Personal Care,Nail Salon,5773 SW Green Oaks Blvd,TX,76017,,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,Best Nails Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJbzdPW7xkToYRUqRxRvkO4A8,PLACE_ID
Lotus Nail Bar,Beauty & Personal Care,Nail Salon,5715 Golden Triangle Blvd,TX,76244,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Lotus Nail Bar Fort Worth,,https://www.google.com/maps/place/?q=place_id:ChIJ77I2zjDXTYYR8sjI67ZJY4Y,PLACE_ID
Willow Nail Lounge,Beauty & Personal Care,Nail Salon,11901 N Dallas Pkwy #300,TX,75033,,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,Willow Nail Lounge Frisco,,https://www.google.com/maps/place/?q=place_id:ChIJH1JMvqw5TIYR9XmFuVaKUsc,PLACE_ID
Rich & Famous Nail,Beauty & Personal Care,Nail Salon,9200 Lebanon Rd #26,TX,75035,,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,Rich Famous Nail Frisco,,https://www.google.com/maps/place/?q=place_id:ChIJryYEsVk8TIYR0W20riW2jIQ,PLACE_ID
Bellini Nail Bar,Beauty & Personal Care,Nail Salon,1815 Range Dr #200,TX,75149,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Bellini Nail Bar Mesquite,,https://www.google.com/maps/place/?q=place_id:ChIJNz5Su9ClToYRvM6bSQ9bFY4,PLACE_ID
Lux Nail Bar,Beauty & Personal Care,Nail Salon,1515 Town East Blvd #102,TX,75015,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Lux Nail Bar Mesquite,,https://www.google.com/maps/place/?q=place_id:ChIJE9Z9idelToYRYcDd59gFpOM,PLACE_ID
Platinum Nail Bar,Beauty & Personal Care,Nail Salon,3001 S Central Expy #103,TX,75070,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Platinum Nail Bar McKinney,,https://www.google.com/maps/place/?q=place_id:ChIJzc0Cd_ERTIYRVCh_EGhtZQg,PLACE_ID
Orchid Nail Lounge,Beauty & Personal Care,Nail Salon,7701 Stacy Rd #600,TX,75070,,,,,,,,,,,Vietnamese/English,Nail Lounge,Yes,,,Orchid Nail Lounge McKinney,,https://www.google.com/maps/place/?q=place_id:ChIJnVJMftwXTIYRFThanDh-ccE,PLACE_ID
KT Nails & Spa,Beauty & Personal Care,Nail Salon,820 Alma Dr #160,TX,75013,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,KT Nails Spa Allen,,https://www.google.com/maps/place/?q=place_id:ChIJ8YMLC4QXTIYRnHHfiHbQOvY,PLACE_ID
Venetian Nail Spa,Beauty & Personal Care,Nail Salon,929 Watters Creek Blvd,TX,75013,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,Venetian Nail Spa Allen,,https://www.google.com/maps/place/?q=place_id:ChIJIw-XpgsXTIYRdxLSrfQ73OQ,PLACE_ID
Adore Nail Spa,Beauty & Personal Care,Nail Salon,190 E Stacy Rd #1522,TX,75002,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,Adore Nail Spa Allen,,https://www.google.com/maps/place/?q=place_id:ChIJ01VZ17wRTIYRLNOGDBZwQBA,PLACE_ID
VN Nails Hurst,Beauty & Personal Care,Nail Salon,926 Melbourne Rd,TX,76053,,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,VN Nails Hurst,,https://www.google.com/maps/place/?q=place_id:ChIJtcNPeyB5ToYR_pG0nnBJWFg,PLACE_ID
Utopian Nails & Spa,Beauty & Personal Care,Nail Salon,420 Grapevine Hwy #110,TX,76054,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,Utopian Nails Hurst,,https://www.google.com/maps/place/?q=place_id:ChIJxUmHpVV_ToYR70O5ovsF5ZM,PLACE_ID
Nail Lounge & Spa Hurst,Beauty & Personal Care,Nail Salon,314 Grapevine Hwy,TX,76054,,,,,,,,,,,Vietnamese/English,Nail Lounge,Yes,,,Nail Lounge Hurst,,https://www.google.com/maps/place/?q=place_id:ChIJncdgL1d_ToYRiDrNsxD70hU,PLACE_ID
V Star Nail & Spa,Beauty & Personal Care,Nail Salon,Grapevine Hwy,TX,76054,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,V Star Nail Hurst,,https://www.google.com/maps/place/?q=place_id:ChIJAV7hurJ4ToYRRDd5KxNZk4Y,PLACE_ID
Grand Nail Spa,Beauty & Personal Care,Nail Salon,2901 Rio Grande Blvd #200,TX,76039,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,Grand Nail Spa Euless,,https://www.google.com/maps/place/?q=place_id:ChIJl8s6cgDVTYYRiF1KPF89naM,PLACE_ID
Texas Nail Bar & Lash,Beauty & Personal Care,Nail Salon,918 E Harwood Rd,TX,76039,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Texas Nail Bar Euless,,https://www.google.com/maps/place/?q=place_id:ChIJJ-pJ0BeBToYRiuFQiBhqUNg,PLACE_ID
Maxiam Nail Bar,Beauty & Personal Care,Nail Salon,2921 Hwy 121 #200,TX,76039,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Maxiam Nail Bar Euless,,https://www.google.com/maps/place/?q=place_id:ChIJvdTe28nVTYYRq57oYQ2NnZA,PLACE_ID
BB Nails Spa,Beauty & Personal Care,Nail Salon,8245 Precinct Line Rd #140,TX,76182,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,BB Nails Spa NRH,,https://www.google.com/maps/place/?q=place_id:ChIJVyjm5bbXTYYRipGETty5kc8,PLACE_ID
Chloe Nail Bar,Beauty & Personal Care,Nail Salon,6039 Precinct Line Rd #100,TX,76180,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Chloe Nail Bar NRH,,https://www.google.com/maps/place/?q=place_id:ChIJX3LuSJB5ToYR9fSAlg2nlRQ,PLACE_ID
Luxury Nail Spa,Beauty & Personal Care,Nail Salon,9127 Grapevine Hwy #120,TX,76180,,,,,,,,,,,Vietnamese/English,Nail Spa,Yes,,,Luxury Nail Spa NRH,,https://www.google.com/maps/place/?q=place_id:ChIJj0yJ2rl4ToYRb0D2eBWOwDo,PLACE_ID
Nini Nail Bar,Beauty & Personal Care,Nail Salon,3044 Old Denton Rd #125,TX,75007,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Nini Nail Bar Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJhaUMZTIlTIYRYmra0JmTXtk,PLACE_ID
Nails Nails Carrollton,Beauty & Personal Care,Nail Salon,1012 W Hebron Pkwy #126,TX,75010,,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,Nails Nails Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJgaCBjYElTIYRozCqksbxsl0,PLACE_ID
Venice Nail Bar,Beauty & Personal Care,Nail Salon,3301 N Goliad St #111,TX,75087,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Venice Nail Bar Rockwall,,https://www.google.com/maps/place/?q=place_id:ChIJR3TwEw4BTIYRvQc8pldYMXI,PLACE_ID
Lemon Drop Nail Bar,Beauty & Personal Care,Nail Salon,3005 N Goliad St #130,TX,75087,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Lemon Drop Nail Bar Rockwall,,https://www.google.com/maps/place/?q=place_id:ChIJN16SCPQBTIYRPUgSS_Cew9I,PLACE_ID
Clover Nail Lounge,Beauty & Personal Care,Nail Salon,159 E Quail Run Rd #101,TX,75087,,,,,,,,,,,Vietnamese/English,Nail Lounge,Yes,,,Clover Nail Lounge Rockwall,,https://www.google.com/maps/place/?q=place_id:ChIJdVM6DbQBTIYREVxCAxx7Adc,PLACE_ID
Modern Nail Bar Keller,Beauty & Personal Care,Nail Salon,8653 N Beach St #225,TX,76244,,,,,,,,,,,Vietnamese/English,Nail Artistry,Yes,,,Modern Nail Bar Keller,,https://www.google.com/maps/place/?q=place_id:ChIJuWFr70bYTYYRpoPha_yfPlQ,PLACE_ID
Infinity Nail & Head Spa,Beauty & Personal Care,Nail Salon,1340 N Main St,TX,76248,,,,,,,,,,,Vietnamese/English,Nail & Head Spa,Yes,,,Infinity Nail Spa Keller,,https://www.google.com/maps/place/?q=place_id:ChIJ5-bttBzRTYYRVrUEywdFBdQ,PLACE_ID
Lux Nail Bar Keller,Beauty & Personal Care,Nail Salon,940 Keller Pkwy #100,TX,76248,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Lux Nail Bar Keller,,https://www.google.com/maps/place/?q=place_id:ChIJgZXilRnXTYYRCZPyFYX3SY0,PLACE_ID
Art Nails Salon Saginaw,Beauty & Personal Care,Nail Salon,1029 N Saginaw Blvd #D3,TX,76179,,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,Art Nails Salon Saginaw,,https://www.google.com/maps/place/?q=place_id:ChIJbUOwN2nfTYYRARY6VUwenZU,PLACE_ID
Victory Nail Lounge,Beauty & Personal Care,Nail Salon,8625 Old Decatur Rd #161,TX,76179,,,,,,,,,,,Vietnamese/English,Nail Lounge,Yes,,,Victory Nail Lounge Saginaw,,https://www.google.com/maps/place/?q=place_id:ChIJo_yDzDTfTYYRr--HSBAzQ9k,PLACE_ID
VIP Nails & Spa Cleburne,Beauty & Personal Care,Nail Salon,1646 W Henderson St #E,TX,76033,,,,,,,,,,,Vietnamese/English,Nail Salon,Yes,,,VIP Nails Spa Cleburne,,https://www.google.com/maps/place/?q=place_id:ChIJoyZlH1tHToYRaKOyfhNlQ8g,PLACE_ID
Cleburne Nail Bar,Beauty & Personal Care,Nail Salon,1607 W Henderson St,TX,76033,,,,,,,,,,,Vietnamese/English,Nail Bar,Yes,,,Cleburne Nail Bar,,https://www.google.com/maps/place/?q=place_id:ChIJaXtfGzZHToYR0piXtCTNYIk,PLACE_ID
VAMAS - Vietnamese American for Mutual Assistance,Community,Non-Profit,414 Jarrell Circle & 2300 W Walnut St,TX,,,,,,,,,,,,Vietnamese/English,"Senior aid, education, health, social activities",Yes,,,VAMAS Garland,,https://www.google.com/maps/place/?q=place_id:ChIJZ4VBWuIdTIYRUvHaox2w4Vo,PLACE_ID
Vietnamese Community Center,Community,Community Center,3221 Belt Line Rd,TX,,,,,,,,,,,,Vietnamese/English,Senior citizens services,Yes,,,Vietnamese Community Center Garland,,https://www.google.com/maps/place/?q=place_id:ChIJKfnUeWIeTIYRJNKusEkVbJ0,PLACE_ID
Our Lady of Fatima Church,Community,Church,5109 E Lancaster Ave,TX,76112,,,,,,,,,,,Vietnamese,Catholic Church,Yes,,,Our Lady of Fatima Fort Worth,,https://www.google.com/maps/place/?q=place_id:ChIJTbDFYGd6ToYRIncD6n-QOJs,PLACE_ID
VACGD (Vietnamese American Community of Greater Dallas),Community Organization,Non-Profit,3221 Belt Line Rd,TX,75044,(972) 666-1168,,,,,,,,vacofdallas@gmail.com,congdongdallas.org,Vietnamese/English,"ESL, citizenship classes, cultural programs, Taekwondo",Yes,40+ years,Founded 1984,VACGD Garland,,https://www.google.com/maps/place/?q=place_id:ChIJKfnUeWIeTIYRJNKusEkVbJ0,PLACE_ID
VAMAS (Vietnamese-American for Mutual Assistance & Services),Community Organization,Non-Profit,2300 W Walnut St,TX,75042,(972) 276-9933,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,,vamastexas.org,Vietnamese/English,"Community services, senior daycare (Mon-Fri 8AM-3PM), Vietnamese language classes",Yes,,,VAMAS Garland,,https://www.google.com/maps/place/?q=place_id:ChIJZ4VBWuIdTIYRUvHaox2w4Vo,PLACE_ID
Hao Pham Construction,Construction,General Contractor,2322 Monarch Dr,TX,75040,(214) 923-6570,,,,,,,,haotexasbuilder@yahoo.com,,Vietnamese/English,"Residential, Commercial, Roofing",Yes,,,Hao Pham Construction Garland,,https://www.google.com/maps/search/?api=1&query=Hao%20Pham%20Construction%202322%20Monarch%20Dr%20TX%2075040,SEARCH
LV Billiards,Entertainment,Billiards,2921 Belt Line Rd,TX,75044,,,,,,,,,,,Vietnamese/English,"Pool hall, affordable rates, well-maintained tables",Yes,,,LV Billiards Garland,,https://www.google.com/maps/place/?q=place_id:ChIJbziWbn0eTIYRYGIkoGJxZCg,PLACE_ID
Hoa Dallas,Florist,Funeral Flowers,2201 Main St,TX,75201,"(214) 939-8001, 1-877-736-3350",8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,CLOSED,CLOSED,,hoadallas.com,Vietnamese/English,"Funeral flowers, Vietnamese traditions",Yes,26+ years,Established 1998,Hoa Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJR2Ah3t-YToYRZFsQnj2UK5Y,PLACE_ID
Trung Nguyen E-Coffee,Food & Beverage,Coffee Shop,"2225 Old Denton Road, Unit 220",TX,75006,,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:00 PM,,,Vietnamese/English,Vietnamese coffee specialist,Yes,,,Trung Nguyen E-Coffee Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJreFcDQAnTIYRF2PPYstbsqY,PLACE_ID
Năm Hứa Vietnamese Cuisine - Catering,Food Services,Catering,3112 N Jupiter Rd #305,TX,75044,,,,,,,,,,,Vietnamese/English,"Vietnamese catering, dine-in, to-go",Yes,,Cali Saigon Mall,Nam Hua Garland,,https://www.google.com/maps/place/?q=place_id:ChIJD9INgIoeTIYR1ltfsoMTT2I,PLACE_ID
"Dr. Thuan Phuong Huynh, MD",Healthcare,Family Medicine,1809 Golden Trail Ct Ste 130,TX,75010,(972) 418-1778,,,**CLOSED**,,,**CLOSED**,**CLOSED**,,,Vietnamese/English,,Yes,30+ years,,,,https://www.google.com/maps/place/?q=place_id:ChIJ20d_y68lTIYRBFk-i8tl2hU,PLACE_ID
"Dr. Linh Ba Nguyen, MD & Dr. Thuy Ngoc Nguyen",Healthcare,Internal Medicine & Sleep Medicine (Dr. Linh Ba),8345 Walnut Hill Ln #105,TX,75231,Contact clinic,,,,,,,,,,Vietnamese/English,,Yes,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8RFJCBYeTIYRfXbAPgpKkxo,PLACE_ID
"Dr. Linh Ba Nguyen, MD",Healthcare,Internal Medicine & Sleep Medicine Specialist,8345 Walnut Hill Ln #105,TX,75231,Contact clinic,,,,,,,,,,Vietnamese/English,,Yes,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8RFJCBYeTIYRfXbAPgpKkxo,PLACE_ID
